# Step Timing Log
# Format: timestamp [Step N] MODE | total=Xms
# MODE: NORMAL = regular step, POST-CKPT = within 34 steps after checkpoint save
# Generated by train_phase8.py

2025-12-13T19:33:02.506243 [Step   3697] NORMAL       | total=4898.4ms | mode=NORMAL
2025-12-13T19:33:08.004374 [Step   3698] NORMAL       | total=5493.6ms | mode=NORMAL
2025-12-13T19:33:13.290428 [Step   3699] NORMAL       | total=5280.4ms | mode=NORMAL
2025-12-13T19:33:18.521092 [Step   3700] NORMAL       | total=5225.4ms | mode=NORMAL
2025-12-13T19:33:23.946148 [Step   3701] NORMAL       | total=5419.8ms | mode=NORMAL
2025-12-13T19:33:29.093419 [Step   3702] NORMAL       | total=5138.8ms | mode=NORMAL
2025-12-13T19:33:34.399202 [Step   3703] NORMAL       | total=5300.7ms | mode=NORMAL
2025-12-13T19:33:39.703709 [Step   3704] NORMAL       | total=5300.2ms | mode=NORMAL
2025-12-13T19:33:45.191617 [Step   3705] NORMAL       | total=5483.1ms | mode=NORMAL
2025-12-13T19:33:50.593678 [Step   3706] NORMAL       | total=5396.8ms | mode=NORMAL
2025-12-13T19:33:56.117131 [Step   3707] NORMAL       | total=5511.6ms | mode=NORMAL
2025-12-13T19:34:01.349679 [Step   3708] NORMAL       | total=5226.4ms | mode=NORMAL
2025-12-13T19:34:06.681273 [Step   3709] NORMAL       | total=5327.5ms | mode=NORMAL
2025-12-13T19:34:12.147329 [Step   3710] NORMAL       | total=5460.6ms | mode=NORMAL
2025-12-13T19:34:17.445238 [Step   3711] NORMAL       | total=5293.2ms | mode=NORMAL
2025-12-13T19:34:23.345397 [Step   3712] NORMAL       | total=5896.5ms | mode=NORMAL
2025-12-13T19:34:28.359920 [Step   3713] NORMAL       | total=5008.8ms | mode=NORMAL
2025-12-13T19:34:33.655394 [Step   3714] NORMAL       | total=5290.1ms | mode=NORMAL
2025-12-13T19:34:38.897029 [Step   3715] NORMAL       | total=5237.4ms | mode=NORMAL
2025-12-13T19:34:44.418988 [Step   3716] NORMAL       | total=5517.4ms | mode=NORMAL
2025-12-13T19:34:49.755030 [Step   3717] NORMAL       | total=5328.8ms | mode=NORMAL
2025-12-13T19:34:55.127687 [Step   3718] NORMAL       | total=5367.0ms | mode=NORMAL
2025-12-13T19:35:00.540033 [Step   3719] NORMAL       | total=5407.1ms | mode=NORMAL
2025-12-13T19:35:05.989407 [Step   3720] NORMAL       | total=5443.0ms | mode=NORMAL
2025-12-13T19:35:11.430422 [Step   3721] NORMAL       | total=5432.5ms | mode=NORMAL
2025-12-13T19:35:16.669458 [Step   3722] NORMAL       | total=5232.8ms | mode=NORMAL
2025-12-13T19:35:21.915344 [Step   3723] NORMAL       | total=5237.2ms | mode=NORMAL
2025-12-13T19:35:27.908731 [Step   3724] NORMAL       | total=5985.8ms | mode=NORMAL
2025-12-13T19:35:33.176039 [Step   3725] NORMAL       | total=5261.4ms | mode=NORMAL
2025-12-13T19:35:38.655968 [Step   3726] NORMAL       | total=5471.9ms | mode=NORMAL
2025-12-13T19:35:44.229679 [Step   3727] NORMAL       | total=5562.5ms | mode=NORMAL
2025-12-13T19:35:49.997565 [Step   3728] NORMAL       | total=5764.0ms | mode=NORMAL
